"","x"
"1","19"
"2","10"
"3","1"
"4","4"
"5","2"
"6","5"
"7","0"
"8","2"
"9","5"
"10","1"
"11","0"
"12","17"
"13","2"
"14","0"
"15","3"
"16","0"
"17","22"
"18","21"
"19","2"
"20","21"
"21","4"
"22","1"
"23","3"
"24","1"
"25","7"
"26","9"
"27","0"
"28","1"
"29","15"
"30","2"
"31","17"
"32","13"
"33","4"
"34","3"
"35","3"
"36","0"
"37","2"
"38","8"
"39","4"
"40","18"
"41","15"
"42","15"
"43","3"
"44","7"
"45","28"
"46","3"
"47","4"
"48","12"
"49","9"
"50","16"
"51","4"
"52","7"
"53","1"
"54","11"
"55","0"
"56","0"
"57","20"
"58","2"
"59","8"
"60","1"
"61","18"
"62","1"
"63","10"
"64","0"
"65","2"
"66","6"
"67","2"
"68","1"
"69","0"
"70","2"
"71","4"
"72","5"
"73","3"
"74","21"
"75","2"
"76","0"
"77","0"
"78","4"
"79","3"
"80","10"
"81","21"
"82","4"
"83","16"
"84","0"
"85","32"
"86","10"
"87","0"
"88","11"
"89","29"
"90","5"
"91","9"
"92","1"
"93","2"
"94","16"
"95","1"
"96","4"
"97","15"
"98","2"
"99","12"
"100","5"
"101","9"
"102","8"
"103","34"
"104","4"
"105","7"
"106","3"
"107","4"
"108","1"
"109","6"
"110","1"
"111","28"
"112","1"
"113","7"
"114","11"
"115","3"
"116","4"
"117","12"
"118","30"
"119","20"
"120","1"
"121","6"
"122","4"
"123","15"
"124","34"
"125","2"
"126","34"
"127","7"
"128","3"
"129","1"
"130","4"
"131","3"
"132","34"
"133","1"
"134","12"
"135","17"
"136","1"
"137","1"
"138","9"
"139","4"
"140","13"
"141","1"
"142","6"
"143","20"
"144","35"
"145","12"
"146","2"
"147","26"
"148","10"
"149","0"
"150","16"
"151","2"
"152","7"
"153","3"
"154","0"
"155","2"
"156","4"
"157","5"
"158","3"
"159","9"
"160","5"
"161","28"
"162","19"
"163","5"
"164","2"
"165","2"
"166","1"
"167","26"
"168","10"
"169","19"
"170","2"
"171","6"
"172","6"
"173","7"
"174","13"
"175","8"
"176","2"
"177","17"
"178","9"
"179","0"
"180","0"
"181","9"
"182","16"
"183","3"
"184","1"
"185","1"
"186","14"
"187","1"
"188","3"
"189","0"
"190","2"
"191","22"
"192","3"
"193","0"
"194","1"
"195","16"
"196","10"
"197","4"
"198","11"
"199","5"
"200","2"
"201","2"
"202","27"
"203","4"
"204","4"
"205","3"
"206","9"
"207","0"
"208","8"
"209","1"
"210","2"
"211","0"
"212","13"
"213","25"
"214","5"
"215","0"
"216","14"
"217","1"
"218","9"
"219","13"
"220","0"
"221","5"
"222","5"
"223","0"
"224","14"
"225","11"
"226","0"
"227","4"
"228","7"
"229","18"
"230","0"
"231","4"
"232","5"
"233","3"
"234","11"
"235","20"
"236","0"
"237","7"
"238","0"
"239","23"
"240","11"
"241","2"
"242","4"
"243","5"
"244","14"
"245","2"
"246","1"
"247","2"
"248","17"
"249","28"
"250","17"
"251","2"
"252","0"
"253","5"
"254","2"
"255","3"
"256","1"
"257","26"
"258","6"
"259","4"
"260","19"
"261","0"
"262","7"
"263","1"
"264","4"
"265","5"
"266","8"
"267","10"
"268","4"
"269","4"
"270","5"
"271","3"
"272","3"
"273","0"
"274","0"
"275","8"
"276","15"
"277","25"
"278","5"
"279","3"
"280","17"
"281","0"
"282","10"
"283","6"
"284","1"
"285","6"
"286","15"
"287","26"
"288","0"
"289","4"
"290","13"
"291","6"
"292","6"
"293","17"
"294","1"
"295","2"
"296","1"
"297","29"
"298","21"
"299","4"
"300","20"
"301","13"
"302","0"
"303","0"
"304","6"
"305","0"
"306","5"
"307","5"
"308","9"
"309","9"
"310","26"
"311","3"
"312","6"
"313","10"
"314","12"
"315","2"
"316","6"
"317","3"
"318","1"
"319","14"
"320","5"
"321","2"
"322","2"
"323","2"
"324","1"
"325","0"
"326","1"
"327","2"
"328","0"
"329","14"
"330","1"
"331","0"
"332","0"
"333","17"
"334","20"
"335","0"
"336","10"
"337","7"
"338","29"
"339","7"
"340","10"
"341","19"
"342","37"
"343","11"
"344","4"
"345","4"
"346","0"
"347","3"
"348","9"
"349","10"
"350","7"
"351","5"
"352","0"
"353","5"
"354","15"
"355","28"
"356","1"
"357","2"
"358","9"
"359","1"
"360","19"
"361","15"
"362","4"
"363","3"
"364","1"
"365","10"
"366","9"
"367","1"
"368","3"
"369","5"
"370","0"
"371","1"
"372","0"
"373","1"
"374","11"
"375","0"
"376","6"
"377","5"
"378","14"
"379","3"
"380","6"
"381","2"
"382","1"
"383","0"
"384","1"
"385","6"
"386","2"
"387","21"
"388","2"
"389","19"
"390","6"
"391","15"
"392","6"
"393","27"
"394","0"
"395","8"
"396","11"
"397","11"
"398","19"
"399","2"
"400","8"
"401","0"
"402","6"
"403","9"
"404","14"
"405","5"
"406","3"
"407","1"
"408","2"
"409","0"
"410","10"
"411","3"
"412","4"
"413","17"
"414","0"
"415","8"
"416","0"
"417","5"
"418","11"
"419","24"
"420","4"
"421","3"
"422","0"
"423","2"
"424","1"
"425","6"
"426","34"
"427","4"
"428","16"
"429","0"
"430","8"
"431","25"
"432","8"
"433","3"
"434","1"
"435","23"
"436","1"
"437","6"
"438","3"
"439","0"
"440","1"
"441","6"
"442","3"
"443","2"
"444","0"
"445","26"
"446","12"
"447","0"
"448","5"
"449","17"
"450","0"
"451","0"
"452","9"
"453","27"
"454","3"
"455","0"
"456","8"
"457","2"
"458","11"
"459","4"
"460","27"
"461","6"
"462","8"
"463","2"
"464","8"
"465","22"
"466","1"
"467","16"
"468","4"
"469","8"
"470","4"
"471","17"
"472","10"
"473","0"
"474","14"
"475","4"
"476","7"
"477","1"
"478","8"
"479","2"
"480","0"
"481","8"
"482","11"
"483","2"
"484","1"
"485","8"
"486","10"
"487","15"
"488","6"
"489","10"
"490","6"
"491","22"
"492","11"
"493","0"
"494","2"
"495","0"
"496","2"
"497","5"
"498","7"
"499","3"
"500","4"
"501","38"
"502","0"
"503","8"
"504","14"
"505","31"
"506","0"
"507","0"
"508","0"
"509","8"
"510","2"
"511","8"
"512","13"
"513","3"
"514","8"
"515","8"
"516","9"
"517","3"
"518","3"
"519","2"
"520","0"
"521","17"
"522","0"
"523","16"
"524","4"
"525","28"
"526","3"
"527","2"
"528","9"
"529","2"
"530","1"
"531","29"
"532","19"
"533","0"
"534","12"
"535","6"
"536","8"
"537","1"
"538","8"
"539","2"
"540","2"
"541","4"
"542","23"
"543","11"
"544","25"
"545","0"
"546","3"
"547","3"
"548","1"
"549","7"
"550","1"
"551","1"
"552","18"
"553","22"
"554","0"
"555","1"
"556","1"
"557","4"
"558","6"
"559","0"
"560","2"
"561","32"
"562","7"
"563","7"
"564","25"
"565","17"
"566","1"
"567","1"
"568","4"
"569","4"
"570","6"
"571","30"
"572","2"
"573","10"
"574","0"
"575","6"
"576","4"
"577","2"
"578","14"
"579","3"
"580","1"
"581","1"
"582","7"
"583","3"
"584","3"
"585","18"
"586","0"
"587","4"
"588","3"
"589","17"
"590","5"
"591","5"
"592","2"
"593","6"
"594","2"
"595","2"
"596","0"
"597","17"
"598","3"
"599","1"
"600","27"
"601","27"
"602","16"
"603","11"
"604","7"
"605","1"
"606","7"
"607","4"
"608","0"
"609","2"
"610","11"
"611","1"
"612","24"
"613","16"
"614","2"
"615","24"
"616","2"
"617","26"
"618","1"
"619","24"
"620","11"
"621","0"
"622","3"
"623","3"
"624","0"
"625","6"
"626","6"
"627","25"
"628","18"
"629","3"
"630","16"
"631","1"
"632","2"
"633","4"
"634","1"
"635","11"
"636","1"
"637","16"
"638","7"
"639","16"
"640","0"
"641","1"
"642","26"
"643","7"
"644","2"
"645","19"
"646","13"
"647","1"
"648","4"
"649","2"
"650","21"
"651","23"
"652","0"
"653","13"
"654","1"
"655","21"
"656","2"
"657","19"
"658","0"
"659","2"
"660","1"
"661","11"
"662","1"
"663","0"
"664","3"
"665","0"
"666","8"
"667","2"
"668","2"
"669","3"
"670","4"
"671","4"
"672","7"
"673","2"
"674","5"
"675","7"
"676","15"
"677","0"
"678","5"
"679","5"
"680","4"
"681","3"
"682","13"
"683","0"
"684","14"
"685","2"
"686","6"
"687","17"
"688","3"
"689","17"
"690","9"
"691","14"
"692","8"
"693","21"
"694","16"
"695","2"
"696","16"
"697","5"
"698","14"
"699","5"
"700","0"
"701","0"
"702","2"
"703","3"
"704","12"
"705","5"
"706","11"
"707","32"
"708","1"
"709","8"
"710","2"
"711","5"
"712","15"
"713","11"
"714","8"
"715","0"
"716","0"
"717","6"
"718","3"
"719","2"
"720","17"
"721","6"
"722","2"
"723","0"
"724","2"
"725","16"
"726","6"
"727","1"
"728","16"
"729","2"
"730","3"
"731","10"
"732","0"
"733","14"
"734","1"
"735","0"
"736","7"
"737","3"
"738","0"
"739","3"
"740","1"
"741","27"
"742","3"
"743","1"
"744","0"
"745","1"
"746","1"
"747","12"
"748","5"
"749","4"
"750","26"
"751","8"
"752","2"
"753","2"
"754","3"
"755","2"
"756","3"
"757","1"
"758","0"
"759","0"
"760","7"
"761","2"
"762","0"
"763","20"
"764","1"
"765","1"
"766","1"
"767","22"
"768","3"
"769","2"
"770","9"
"771","21"
"772","7"
"773","34"
"774","1"
"775","4"
"776","8"
"777","3"
"778","3"
"779","0"
"780","5"
"781","2"
"782","12"
"783","15"
"784","6"
"785","1"
"786","0"
"787","2"
"788","0"
"789","3"
"790","4"
"791","3"
"792","0"
"793","18"
"794","1"
"795","5"
"796","5"
"797","9"
"798","0"
"799","1"
"800","11"
"801","1"
"802","1"
"803","2"
"804","1"
"805","10"
"806","5"
"807","14"
"808","15"
"809","4"
"810","3"
"811","5"
"812","29"
"813","1"
"814","17"
"815","3"
"816","5"
"817","1"
"818","7"
"819","1"
"820","4"
"821","3"
"822","0"
"823","5"
"824","3"
"825","5"
"826","8"
"827","3"
"828","16"
"829","1"
"830","1"
"831","0"
"832","4"
"833","5"
"834","5"
"835","1"
"836","3"
"837","4"
"838","3"
"839","0"
"840","3"
"841","28"
"842","10"
"843","0"
"844","0"
"845","22"
"846","7"
"847","5"
"848","4"
"849","8"
"850","1"
"851","13"
"852","0"
"853","28"
"854","13"
"855","7"
"856","1"
"857","0"
"858","5"
"859","3"
"860","1"
"861","2"
"862","6"
"863","3"
"864","19"
"865","1"
"866","25"
"867","6"
"868","1"
"869","29"
"870","8"
"871","10"
"872","0"
"873","2"
"874","9"
"875","1"
"876","3"
"877","4"
"878","2"
"879","3"
"880","5"
"881","2"
"882","0"
"883","8"
"884","5"
"885","14"
"886","2"
"887","7"
"888","8"
"889","4"
"890","5"
"891","6"
"892","0"
"893","6"
"894","15"
"895","3"
"896","20"
"897","7"
"898","10"
"899","3"
"900","1"
"901","12"
"902","22"
"903","4"
"904","5"
"905","0"
"906","5"
"907","1"
"908","0"
"909","1"
"910","5"
"911","3"
"912","1"
"913","6"
"914","7"
"915","23"
"916","8"
"917","5"
"918","2"
"919","0"
"920","19"
"921","10"
"922","15"
"923","0"
"924","0"
"925","25"
"926","1"
"927","0"
"928","7"
"929","4"
"930","2"
"931","2"
"932","27"
"933","0"
"934","15"
"935","3"
"936","0"
"937","0"
"938","0"
"939","8"
"940","39"
"941","24"
"942","3"
"943","8"
"944","8"
"945","5"
"946","23"
"947","5"
"948","13"
"949","3"
"950","4"
"951","5"
"952","1"
"953","19"
"954","22"
"955","5"
"956","1"
"957","1"
"958","2"
"959","9"
"960","2"
"961","7"
"962","18"
"963","20"
"964","2"
"965","8"
"966","3"
"967","6"
"968","28"
"969","14"
"970","6"
"971","17"
"972","8"
"973","9"
"974","3"
"975","5"
"976","1"
"977","26"
"978","23"
"979","15"
"980","1"
"981","0"
"982","1"
"983","7"
"984","1"
"985","18"
"986","8"
"987","4"
"988","0"
"989","10"
"990","0"
"991","9"
"992","3"
"993","1"
"994","0"
"995","8"
"996","12"
"997","3"
"998","24"
"999","32"
"1000","7"
"1001","9"
"1002","17"
"1003","0"
"1004","8"
"1005","3"
"1006","14"
"1007","6"
"1008","18"
"1009","6"
"1010","0"
"1011","9"
"1012","1"
"1013","4"
"1014","8"
"1015","0"
"1016","2"
"1017","10"
"1018","6"
"1019","28"
"1020","1"
"1021","11"
"1022","2"
"1023","2"
"1024","1"
"1025","2"
"1026","19"
"1027","0"
"1028","4"
"1029","5"
"1030","2"
"1031","5"
"1032","3"
"1033","15"
"1034","2"
"1035","23"
"1036","4"
"1037","0"
"1038","1"
"1039","6"
"1040","3"
"1041","3"
"1042","10"
"1043","1"
"1044","0"
"1045","3"
"1046","9"
"1047","10"
"1048","4"
"1049","16"
"1050","7"
"1051","2"
"1052","1"
"1053","2"
"1054","2"
"1055","2"
"1056","7"
"1057","0"
"1058","5"
"1059","7"
"1060","8"
"1061","2"
"1062","4"
"1063","2"
"1064","13"
"1065","14"
"1066","3"
"1067","12"
"1068","4"
"1069","7"
"1070","7"
"1071","19"
"1072","6"
"1073","8"
"1074","12"
"1075","25"
"1076","1"
"1077","14"
"1078","0"
"1079","2"
"1080","5"
"1081","6"
"1082","8"
"1083","1"
"1084","23"
"1085","2"
"1086","3"
"1087","2"
"1088","9"
"1089","9"
"1090","2"
"1091","3"
"1092","4"
"1093","16"
"1094","23"
"1095","1"
"1096","21"
"1097","3"
"1098","9"
"1099","18"
"1100","32"
"1101","12"
"1102","16"
"1103","10"
"1104","24"
"1105","10"
"1106","24"
"1107","0"
"1108","25"
"1109","3"
"1110","5"
"1111","17"
"1112","5"
"1113","1"
"1114","2"
"1115","0"
"1116","4"
"1117","3"
"1118","0"
"1119","0"
"1120","1"
